game,date,age,team,opp,result,mp,playoffs mp,fg,playoffs fg,fga,fgp,three,playoffs 3,threeatt,threep,playoffs 3p,ft,playoffs ft,fta,ftp,orb,playoffs orb,drb,playoffs drb,trb,playoffs trb,ast,stl,blk,tov,playoffs tov,pts,playoffs pts,game_score,plus_minus
75,4/6/1997,34-048,CHI,ORL,W (+16),40,44,13,15,22,0.591,3,3,6,0.5,0.429,8,12,9,0.889,2,0,6,1,8,1,5,3,1,4,1,37,45,31.6,
76,4/7/1997,34-049,CHI,PHI,W (+26),30,44,13,15,25,0.52,3,3,4,0.75,0.429,1,12,2,0.5,3,0,5,1,8,1,2,3,2,2,1,30,45,24.3,
77,4/9/1997,34-051,CHI,IND,W (+6),41,44,8,15,19,0.421,0,3,3,0,0.429,7,12,8,0.875,0,0,3,1,3,1,2,5,0,6,1,23,45,13,
78,4/10/1997,34-052,CHI,NYK,W (+2),44,44,12,15,26,0.462,1,3,3,0.333,0.429,9,12,10,0.9,1,0,7,1,8,1,6,1,1,3,1,34,45,24.7,
79,4/13/1997,34-055,CHI,DET,L (-17),38,44,7,15,16,0.438,0,3,3,0,0.429,4,12,4,1,1,0,8,1,9,1,7,0,0,4,1,18,45,13.2,
80,4/14/1997,34-056,CHI,TOR,W (+17),35,44,12,15,24,0.5,4,3,7,0.571,0.429,2,12,2,1,2,0,9,1,11,1,10,3,1,2,1,30,45,30,
81,4/16/1997,34-058,CHI,MIA,L (-10),39,44,11,15,27,0.407,2,3,5,0.4,0.429,2,12,4,0.5,1,0,7,1,8,1,3,0,1,3,1,26,45,11.3,
82,4/19/1997,34-061,CHI,NYK,L (-2),39,44,14,15,22,0.636,1,3,1,1,0.429,4,12,8,0.5,0,0,3,1,3,1,3,2,0,4,1,33,45,21,
1,10/31/1997,34-256,CHI,BOS,L (-7),42,40,7,12,23,0.304,0,0,0,,0,16,7,21,0.762,1,0,5,5,6,5,4,2,1,3,6,30,31,18.6,
2,11/1/1997,34-257,CHI,PHI,W (+20),24,44,7,10,14,0.5,0,0,0,,0,2,10,2,1,1,3,6,2,7,5,2,2,0,3,7,16,30,10.7,
3,11/3/1997,34-259,CHI,SAS,W (+4),48,39,12,18,39,0.308,1,1,4,0.25,1,4,7,6,0.667,4,2,9,5,13,7,4,5,2,3,5,29,44,17.4,
4,11/5/1997,34-261,CHI,ORL,W (+13),41,43,11,14,25,0.44,0,0,3,0,0,7,22,9,0.778,4,0,13,3,17,3,4,0,0,0,1,29,50,23.8,
5,11/7/1997,34-263,CHI,ATL,L (-2),40,44,11,17,25,0.44,0,1,1,0,1,5,9,7,0.714,1,3,8,6,9,9,6,1,0,2,2,27,44,19,
6,11/8/1997,34-264,CHI,NJN,W (+13),33,46,5,11,13,0.385,0,1,1,0,0.5,5,11,8,0.625,1,2,4,8,5,10,2,2,0,2,6,15,34,8.8,
7,11/11/1997,34-267,CHI,CLE,L (-21),34,42,7,19,17,0.412,0,4,1,0,0.364,5,7,7,0.714,2,2,4,3,6,5,1,1,0,3,5,19,49,10,
8,11/12/1997,34-268,CHI,WAS,L (-7),40,42,10,14,28,0.357,0,0,2,0,0,8,10,12,0.667,2,4,5,15,7,19,3,4,2,5,4,28,38,15.8,
9,11/14/1997,34-270,CHI,CHH,W (+13),38,38,12,6,24,0.5,2,0,2,1,0,2,10,2,1,1,0,3,3,4,3,7,1,1,2,6,28,22,22.2,
10,11/15/1997,34-271,CHI,CLE,W (+9),39,39,11,10,26,0.423,1,2,1,1,1,4,13,7,0.571,0,2,2,1,2,3,4,2,0,5,3,27,35,11.6,
11,11/20/1997,34-276,CHI,PHO,L (-4),41,46,13,11,27,0.481,0,0,1,0,0,4,11,6,0.667,1,0,5,7,6,7,3,1,0,3,1,30,33,17.8,
12,11/21/1997,34-277,CHI,LAC,W (+9),52,37,18,11,38,0.474,0,1,2,0,0.5,13,6,19,0.684,2,0,3,8,5,8,5,1,1,4,2,49,29,29.5,
13,11/23/1997,34-279,CHI,SAC,W (+15),41,40,11,14,19,0.579,0,1,0,,1,11,7,12,0.917,1,2,2,6,3,8,5,2,1,2,4,33,36,28.8,
14,11/25/1997,34-281,CHI,SEA,L (-1),38,44,11,15,25,0.44,0,1,2,0,0.333,4,4,6,0.667,2,2,4,3,6,5,5,5,0,3,5,26,35,19.8,
15,11/28/1997,34-284,CHI,IND,L (-11),42,39,11,13,26,0.423,0,0,2,0,0,4,11,8,0.5,1,0,6,3,7,3,2,2,0,1,0,26,37,14.3,
16,11/29/1997,34-285,CHI,WAS,W (+5),37,44,10,10,21,0.476,1,0,1,1,0,8,9,12,0.667,0,1,4,7,4,8,3,2,0,2,3,29,29,18.8,
17,12/3/1997,34-289,CHI,BOS,W (+10),40,34,11,16,21,0.524,1,6,3,0.333,0.6,6,1,8,0.75,4,2,5,1,9,3,5,2,1,7,1,29,39,20.6,
18,12/5/1997,34-291,CHI,MIL,W (+22),35,50,4,16,16,0.25,0,0,3,0,0,5,7,6,0.833,3,1,6,4,9,5,2,1,0,1,5,13,39,7.1,
19,12/9/1997,34-295,CHI,NYK,W (+18),37,41,10,11,23,0.435,0,0,0,,0,9,4,9,1,1,2,3,5,4,7,4,1,0,4,5,29,26,16.7,
20,12/10/1997,34-296,CHI,ORL,L (-8),37,45,6,9,17,0.353,0,0,1,0,0,13,10,13,1,1,1,1,3,2,4,5,1,0,3,4,25,28,16.8,
21,12/12/1997,34-298,CHI,CHH,L (-2),41,44,12,15,24,0.5,0,3,0,,0.429,4,12,6,0.667,3,0,6,1,9,1,5,0,0,4,1,28,45,17.8,
22,12/13/1997,34-299,CHI,TOR,W (+27),27,44,4,15,16,0.25,0,3,0,,0.429,3,12,4,0.75,3,0,3,1,6,1,2,2,0,0,1,11,45,7.4,
23,12/15/1997,34-301,CHI,PHO,W (+7),36,44,10,15,23,0.435,0,3,1,0,0.429,11,12,12,0.917,3,0,6,1,9,1,4,4,1,2,1,31,45,27.1,
24,12/17/1997,34-303,CHI,LAL,W (+21),35,44,12,15,22,0.545,1,3,2,0.5,0.429,11,12,12,0.917,2,0,3,1,5,1,4,1,1,4,1,36,45,26.2,
25,12/20/1997,34-306,CHI,NJN,W (+8),42,44,10,15,23,0.435,0,3,0,,0.429,4,12,5,0.8,3,0,2,1,5,1,3,0,2,2,1,24,45,14.9,
26,12/23/1997,34-309,CHI,LAC,W (+5),40,44,9,15,24,0.375,0,3,1,0,0.429,9,12,12,0.75,7,0,5,1,12,1,4,0,1,2,1,27,45,20.5,
27,12/25/1997,34-311,CHI,MIA,W (+10),38,44,8,15,20,0.4,0,3,1,0,0.429,8,12,12,0.667,4,0,7,1,11,1,4,2,0,3,1,24,45,18.3,
28,12/27/1997,34-313,CHI,ATL,W (+7),36,44,18,15,26,0.692,0,3,0,,0.429,11,12,13,0.846,2,0,2,1,4,1,2,3,1,4,1,47,45,37.5,
29,12/29/1997,34-315,CHI,DAL,W (+6),41,44,16,15,29,0.552,0,3,1,0,0.429,9,12,11,0.818,1,0,6,1,7,1,0,0,2,2,1,41,45,27.8,
30,12/30/1997,34-316,CHI,MIN,L (-4),39,44,11,15,28,0.393,1,3,3,0.333,0.429,10,12,13,0.769,0,0,4,1,4,1,1,0,0,3,1,33,45,15.1,
31,1/2/1998,34-319,CHI,MIL,W (+14),43,44,15,15,22,0.682,1,3,1,1,0.429,13,12,15,0.867,1,0,4,1,5,1,1,2,0,0,1,44,45,38,
32,1/3/1998,34-320,CHI,DET,W (+9),47,44,12,15,25,0.48,0,3,1,0,0.429,10,12,11,0.909,0,0,9,1,9,1,9,1,2,4,1,34,45,27.5,
33,1/6/1998,34-323,CHI,BOS,W (+11),41,44,5,15,13,0.385,0,3,1,0,0.429,9,12,12,0.75,1,0,2,1,3,1,4,3,0,3,1,19,45,14.8,
34,1/7/1998,34-324,CHI,MIA,L (-27),37,44,12,15,27,0.444,1,3,2,0.5,0.429,1,12,3,0.333,2,0,2,1,4,1,1,1,0,1,1,26,45,13.8,
35,1/9/1998,34-326,CHI,NYK,W (+1),41,44,17,15,33,0.515,1,3,4,0.25,0.429,9,12,10,0.9,1,0,3,1,4,1,2,3,1,1,1,44,45,31.8,
36,1/10/1998,34-327,CHI,GSW,W (+5),38,44,13,15,31,0.419,0,3,1,0,0.429,6,12,10,0.6,4,0,2,1,6,1,3,0,0,1,1,32,45,18.4,
37,1/13/1998,34-330,CHI,SEA,W (+10),38,44,12,15,27,0.444,0,3,2,0,0.429,16,12,18,0.889,1,0,0,1,1,1,2,0,0,1,1,40,45,24.2,
38,1/15/1998,34-332,CHI,PHI,L (-10),38,44,9,15,23,0.391,0,3,1,0,0.429,2,12,4,0.5,2,0,7,1,9,1,4,2,0,4,1,20,45,10.6,
39,1/16/1998,34-333,CHI,MIL,W (+10),40,44,10,15,20,0.5,1,3,1,1,0.429,6,12,7,0.857,0,0,8,1,8,1,2,1,1,3,1,27,45,17.9,
40,1/18/1998,34-335,CHI,HOU,W (+6),41,44,16,15,29,0.552,2,3,2,1,0.429,11,12,12,0.917,0,0,3,1,3,1,3,3,1,4,1,45,45,32.6,
41,1/21/1998,34-338,CHI,CHH,W (+31),31,44,14,15,23,0.609,1,3,3,0.333,0.429,4,12,4,1,1,0,4,1,5,1,6,3,1,1,1,33,45,30.5,
42,1/23/1998,34-340,CHI,NJN,W (+2),44,44,10,15,23,0.435,0,3,1,0,0.429,12,12,13,0.923,0,0,5,1,5,1,1,1,1,4,1,32,45,18.6,
43,1/25/1998,34-342,CHI,UTA,L (-7),44,44,13,15,26,0.5,0,3,4,0,0.429,6,12,7,0.857,3,0,2,1,5,1,7,2,0,3,1,32,45,23.6,
44,1/27/1998,34-344,CHI,VAN,W (+18),32,44,7,15,15,0.467,0,3,0,,0.429,6,12,6,1,0,0,0,1,0,1,3,1,1,1,1,20,45,15.1,
45,1/29/1998,34-346,CHI,POR,W (+13),39,44,11,15,24,0.458,0,3,1,0,0.429,7,12,7,1,1,0,4,1,5,1,4,1,0,0,1,29,45,21.9,
46,1/30/1998,34-347,CHI,GSW,W (+7),41,44,2,15,17,0.118,0,3,0,,0.429,10,12,11,0.909,3,0,5,1,8,1,3,3,1,2,1,14,45,9.9,
47,2/1/1998,34-349,CHI,LAL,L (-25),37,44,11,15,26,0.423,0,3,1,0,0.429,9,12,12,0.75,0,0,5,1,5,1,2,1,0,1,1,31,45,18.9,
48,2/2/1998,34-350,CHI,DEN,W (+39),33,44,6,15,12,0.5,0,3,0,,0.429,3,12,4,0.75,1,0,5,1,6,1,3,1,0,0,1,15,45,13.5,
49,2/4/1998,34-352,CHI,UTA,L (-8),43,44,17,15,37,0.459,1,3,5,0.2,0.429,5,12,6,0.833,2,0,5,1,7,1,3,2,1,1,1,40,45,26.4,
50,2/10/1998,34-358,CHI,TOR,W (+7),34,44,8,15,21,0.381,0,3,3,0,0.429,2,12,5,0.4,2,0,3,1,5,1,1,2,0,2,1,18,45,7.9,
51,2/11/1998,34-359,CHI,CHH,W (+2),41,44,11,15,22,0.5,0,3,0,,0.429,7,12,9,0.778,1,0,3,1,4,1,6,0,0,1,1,29,45,21.2,
52,2/13/1998,34-361,CHI,ATL,W (+2),36,44,14,15,22,0.636,0,3,1,0,0.429,9,12,12,0.75,3,0,4,1,7,1,1,1,0,2,1,37,45,29,
53,2/15/1998,34-363,CHI,DET,W (+9),41,44,7,15,17,0.412,0,3,1,0,0.429,7,12,8,0.875,1,0,11,1,12,1,5,3,0,3,1,21,45,17.8,
54,2/17/1998,35-000,CHI,IND,W (+8),39,44,13,15,23,0.565,0,3,2,0,0.429,1,12,3,0.333,2,0,2,1,4,1,6,1,1,2,1,27,45,19.6,
55,2/19/1998,35-002,CHI,TOR,W (+37),28,44,5,15,9,0.556,1,3,2,0.5,0.429,5,12,6,0.833,0,0,4,1,4,1,5,0,0,1,1,16,45,14.2,
56,2/21/1998,35-004,CHI,WAS,W (+6),42,44,8,15,23,0.348,0,3,0,,0.429,3,12,5,0.6,3,0,5,1,8,1,3,1,2,1,1,19,45,11.2,
57,2/23/1998,35-006,CHI,CLE,W (+22),29,44,7,15,14,0.5,0,3,1,0,0.429,3,12,4,0.75,2,0,5,1,7,1,6,0,1,2,1,17,45,14.2,
58,2/25/1998,35-008,CHI,POR,L (-5),42,44,9,15,26,0.346,0,3,2,0,0.429,15,12,17,0.882,1,0,3,1,4,1,3,4,1,3,1,33,45,22.2,
59,2/28/1998,35-011,CHI,SAC,W (+15),39,44,10,15,17,0.588,0,3,1,0,0.429,8,12,9,0.889,1,0,1,1,2,1,2,0,0,2,1,28,45,19.7,
60,3/3/1998,35-014,CHI,DEN,W (+28),40,44,12,15,19,0.632,0,3,0,,0.429,6,12,6,1,0,0,7,1,7,1,2,2,0,2,1,30,45,24.6,
61,3/8/1998,35-019,CHI,NYK,W (+13),43,44,17,15,33,0.515,1,3,2,0.5,0.429,7,12,9,0.778,3,0,5,1,8,1,6,3,1,2,1,42,45,34,
62,3/10/1998,35-021,CHI,MIA,W (+15),39,44,17,15,30,0.567,1,3,2,0.5,0.429,2,12,2,1,0,0,4,1,4,1,4,1,1,1,1,37,45,26.7,
63,3/12/1998,35-023,CHI,DAL,L (-7),47,44,10,15,24,0.417,1,3,3,0.333,0.429,5,12,11,0.455,4,0,3,1,7,1,3,1,1,1,1,26,45,15.7,
64,3/14/1998,35-025,CHI,SAS,W (+10),42,44,12,15,22,0.545,0,3,0,,0.429,6,12,7,0.857,2,0,3,1,5,1,3,2,1,3,1,30,45,22.3,
65,3/16/1998,35-027,CHI,NJN,W (+16),33,44,6,15,15,0.4,0,3,1,0,0.429,5,12,8,0.625,2,0,5,1,7,1,1,1,0,4,1,17,45,7.9,
66,3/17/1998,35-028,CHI,IND,W (+6),42,44,14,15,28,0.5,1,3,3,0.333,0.429,6,12,9,0.667,1,0,3,1,4,1,2,1,0,2,1,35,45,21.4,
67,3/20/1998,35-031,CHI,VAN,W (+6),39,44,8,15,13,0.615,1,3,2,0.5,0.429,7,12,10,0.7,0,0,4,1,4,1,3,0,1,3,1,24,45,17.5,
68,3/22/1998,35-033,CHI,TOR,W (+2),41,44,13,15,28,0.464,0,3,2,0,0.429,7,12,7,1,0,0,4,1,4,1,3,5,3,2,1,33,45,25.8,
69,3/23/1998,35-034,CHI,BOS,W (+23),36,44,11,15,22,0.5,0,3,1,0,0.429,2,12,2,1,1,0,6,1,7,1,2,2,1,2,1,24,45,17.2,
70,3/25/1998,35-036,CHI,ORL,W (+15),38,44,8,15,21,0.381,1,3,3,0.333,0.429,0,12,1,0,2,0,5,1,7,1,8,5,0,0,1,17,45,17.8,
71,3/27/1998,35-038,CHI,ATL,W (+15),43,44,13,15,26,0.5,0,3,0,,0.429,8,12,12,0.667,1,0,4,1,5,1,4,0,1,2,1,34,45,21.6,
72,3/29/1998,35-040,CHI,MIL,W (+17),35,44,13,15,24,0.542,0,3,1,0,0.429,4,12,5,0.8,1,0,1,1,2,1,0,2,0,0,1,30,45,19.8,
73,3/31/1998,35-042,CHI,DET,W (+5),47,44,11,15,26,0.423,0,3,2,0,0.429,4,12,4,1,1,0,2,1,3,1,8,4,2,4,1,26,45,18.5,
74,4/3/1998,35-045,CHI,MIN,W (+14),38,44,16,15,25,0.64,2,3,6,0.333,0.429,7,12,8,0.875,3,0,3,1,6,1,4,1,0,0,1,41,45,35.9,
75,4/5/1998,35-047,CHI,HOU,W (+15),37,44,18,15,31,0.581,0,3,0,,0.429,4,12,4,1,2,0,2,1,4,1,3,3,0,2,1,40,45,29.4,
76,4/7/1998,35-049,CHI,WAS,W (+18),33,44,11,15,21,0.524,1,3,2,0.5,0.429,7,12,8,0.875,1,0,3,1,4,1,3,1,1,2,1,30,45,22.7,
77,4/9/1998,35-051,CHI,CLE,L (-6),37,44,10,15,24,0.417,0,3,2,0,0.429,9,12,12,0.75,0,0,6,1,6,1,4,0,0,4,1,29,45,14.4,
78,4/11/1998,35-053,CHI,ORL,W (+9),35,44,15,15,25,0.6,3,3,5,0.6,0.429,4,12,10,0.4,1,0,3,1,4,1,2,4,0,0,1,37,45,29.3,
79,4/13/1998,35-055,CHI,IND,L (-9),41,44,7,15,19,0.368,1,3,1,1,0.429,12,12,14,0.857,0,0,4,1,4,1,3,3,0,4,1,27,45,18,
80,4/15/1998,35-057,CHI,DET,L (-8),43,44,7,15,25,0.28,0,3,3,0,0.429,5,12,10,0.5,4,0,2,1,6,1,4,1,0,2,1,19,45,5.9,
81,4/17/1998,35-059,CHI,PHI,W (+7),39,44,9,15,19,0.474,0,3,2,0,0.429,6,12,8,0.75,1,0,5,1,6,1,2,5,0,4,1,24,45,16.1,
82,4/18/1998,35-060,CHI,NYK,W (+2),40,44,11,15,24,0.458,0,3,0,,0.429,22,12,24,0.917,0,0,3,1,3,1,3,1,0,1,1,44,45,33.4,
1,10/30/2001,38-255,WAS,NYK,L (-2),37,40,7,12,21,0.333,0,0,3,0,0,5,7,6,0.833,3,0,2,5,5,5,6,4,0,3,6,19,31,13.4,
2,11/1/2001,38-257,WAS,ATL,W (+10),40,44,13,10,30,0.433,0,0,3,0,0,5,10,6,0.833,0,3,6,2,6,5,6,2,0,1,7,31,30,21,
3,11/3/2001,38-259,WAS,PHI,W (+14),38,39,7,18,21,0.333,0,1,0,,1,6,7,9,0.667,2,2,4,5,6,7,9,2,1,2,5,20,44,16.1,
4,11/4/2001,38-260,WAS,DET,L (-22),22,43,8,14,18,0.444,0,0,0,,0,3,22,3,1,0,0,8,3,8,3,2,1,0,1,1,19,50,13,
5,11/7/2001,38-263,WAS,BOS,L (-9),41,44,12,17,26,0.462,0,1,1,0,1,8,9,10,0.8,2,3,6,6,8,9,2,2,0,5,2,32,44,18.6,
6,11/9/2001,38-265,WAS,GSW,L (-9),38,46,13,11,30,0.433,0,1,1,0,0.5,6,11,8,0.75,0,2,3,8,3,10,3,3,0,3,6,32,34,17.2,
7,11/11/2001,38-267,WAS,SEA,L (-15),39,42,5,19,26,0.192,0,4,1,0,0.364,6,7,6,1,3,2,9,3,12,5,4,1,2,1,5,16,49,7.2,
8,11/14/2001,38-270,WAS,MIL,L (-9),41,42,12,14,24,0.5,0,0,1,0,0,7,10,8,0.875,1,4,3,15,4,19,3,2,1,3,4,31,38,20.8,
9,11/16/2001,38-272,WAS,UTA,L (-9),41,38,17,6,33,0.515,1,0,2,0.5,0,9,10,11,0.818,3,0,4,3,7,3,3,1,0,0,6,44,22,33.3,
10,11/20/2001,38-276,WAS,CHH,L (-7),41,39,13,10,23,0.565,1,2,2,0.5,1,3,13,4,0.75,0,2,4,1,4,3,6,2,0,5,3,30,35,19.5,
11,11/22/2001,38-278,WAS,IND,L (-7),40,46,8,11,26,0.308,0,0,1,0,0,5,11,5,1,0,0,5,7,5,7,6,2,1,3,1,21,33,11,
12,11/24/2001,38-280,WAS,BOS,W (+4),45,37,7,11,24,0.292,0,1,1,0,0.5,3,6,3,1,1,0,10,8,11,8,6,1,0,2,2,17,29,8.7,
13,11/27/2001,38-283,WAS,CLE,L (-19),31,40,9,14,24,0.375,0,1,0,,1,0,7,0,,1,2,3,6,4,8,5,1,0,0,4,18,36,10.1,
14,11/28/2001,38-284,WAS,PHI,W (+7),38,44,11,15,27,0.407,0,1,1,0,0.333,8,4,10,0.8,0,2,6,3,6,5,7,5,1,1,5,30,35,25.3,
15,11/30/2001,38-286,WAS,MIA,W (+9),38,39,10,13,20,0.5,0,0,1,0,0,2,11,3,0.667,1,0,6,3,7,3,5,0,0,2,0,22,37,14.8,
16,12/1/2001,38-287,WAS,ORL,L (-9),33,44,6,10,19,0.316,0,0,0,,0,3,9,3,1,0,1,7,7,7,8,7,0,2,2,3,15,29,8.9,
17,12/6/2001,38-292,WAS,HOU,W (+3),33,34,9,16,23,0.391,0,6,0,,0.6,0,1,0,,0,2,6,1,6,3,7,0,0,4,1,18,39,7.4,
18,12/8/2001,38-294,WAS,DAL,W (+7),35,50,7,16,21,0.333,0,0,1,0,0,7,7,9,0.778,2,1,10,4,12,5,4,4,0,1,5,21,39,17.3,
19,12/11/2001,38-297,WAS,MEM,W (+10),31,41,8,11,19,0.421,0,0,1,0,0,0,4,0,,0,2,6,5,6,7,9,0,0,0,5,16,26,13.2,
20,12/12/2001,38-298,WAS,MIA,W (+2),34,45,9,9,23,0.391,0,0,1,0,0,7,10,11,0.636,0,1,6,3,6,4,7,1,1,1,4,25,28,18.3,
21,12/14/2001,38-300,WAS,NYK,W (+16),34,44,8,15,19,0.421,0,3,1,0,0.429,3,12,3,1,0,0,6,1,6,1,6,1,2,5,1,19,45,10.7,
22,12/16/2001,38-302,WAS,TOR,W (+5),36,44,8,15,21,0.381,0,3,0,,0.429,5,12,6,0.833,2,0,2,1,4,1,3,3,0,4,1,21,45,11,
23,12/19/2001,38-305,WAS,ATL,W (+27),27,44,11,15,19,0.579,0,3,1,0,0.429,1,12,1,1,1,0,3,1,4,1,6,1,1,2,1,23,45,18.8,
24,12/21/2001,38-307,WAS,ORL,W (+18),34,44,3,15,16,0.188,0,3,0,,0.429,6,12,6,1,3,0,3,1,6,1,8,1,0,3,1,12,45,8.2,
25,12/22/2001,38-308,WAS,NYK,W (+1),36,44,11,15,22,0.5,0,3,0,,0.429,4,12,7,0.571,0,0,1,1,1,1,3,1,0,4,1,26,45,12.4,
26,12/26/2001,38-312,WAS,CHH,L (-6),35,44,11,15,28,0.393,1,3,2,0.5,0.429,5,12,6,0.833,1,0,3,1,4,1,7,1,0,3,1,28,45,15.3,
27,12/27/2001,38-313,WAS,IND,L (-27),25,44,2,15,10,0.2,1,3,2,0.5,0.429,1,12,2,0.5,2,0,2,1,4,1,4,0,0,4,1,6,45,-0.2,
28,12/29/2001,38-315,WAS,CHH,W (+17),38,44,21,15,38,0.553,0,3,2,0,0.429,9,12,10,0.9,2,0,5,1,7,1,4,3,0,4,1,51,45,35.9,
29,12/31/2001,38-317,WAS,NJN,W (+22),39,44,16,15,32,0.5,1,3,3,0.333,0.429,12,12,13,0.923,0,0,10,1,10,1,7,3,0,3,1,45,45,35.7,
30,1/4/2002,38-321,WAS,CHI,W (+6),38,44,9,15,24,0.375,0,3,2,0,0.429,11,12,13,0.846,0,0,7,1,7,1,3,2,2,5,1,29,45,16,
31,1/8/2002,38-325,WAS,LAC,W (+8),42,44,9,15,24,0.375,0,3,0,,0.429,0,12,1,0,2,0,8,1,10,1,8,1,0,4,1,18,45,10.4,
32,1/11/2002,38-328,WAS,MIL,L (-19),33,44,10,15,24,0.417,0,3,0,,0.429,2,12,4,0.5,0,0,3,1,3,1,3,1,0,6,1,22,45,5.6,
33,1/12/2002,38-329,WAS,MIN,L (-8),40,44,14,15,30,0.467,0,3,0,,0.429,7,12,7,1,0,0,6,1,6,1,4,1,1,5,1,35,45,20.1,
34,1/15/2002,38-332,WAS,SAS,L (-5),40,44,5,15,21,0.238,0,3,0,,0.429,10,12,16,0.625,0,0,1,1,1,1,4,0,1,4,1,20,45,4.7,
35,1/16/2002,38-333,WAS,NJN,L (-44),18,44,4,15,14,0.286,0,3,0,,0.429,2,12,2,1,0,0,2,1,2,1,1,1,1,1,1,10,45,3.4,
36,1/19/2002,38-336,WAS,CHI,W (+8),41,44,7,15,21,0.333,0,3,2,0,0.429,2,12,6,0.333,0,0,12,1,12,1,4,2,2,9,1,16,45,1.7,
37,1/21/2002,38-338,WAS,MIN,L (-4),39,44,12,15,34,0.353,1,3,4,0.25,0.429,4,12,5,0.8,4,0,10,1,14,1,3,0,0,1,1,29,45,16.1,
38,1/22/2002,38-339,WAS,PHI,L (-7),42,44,14,15,27,0.519,1,3,2,0.5,0.429,1,12,1,1,2,0,6,1,8,1,6,2,1,5,1,30,45,20.2,
39,1/24/2002,38-341,WAS,CLE,W (+9),40,44,18,15,29,0.621,0,3,0,,0.429,4,12,7,0.571,1,0,7,1,8,1,2,2,0,0,1,40,45,31.1,
40,1/26/2002,38-343,WAS,PHO,W (+10),40,44,17,15,30,0.567,0,3,0,,0.429,7,12,9,0.778,2,0,2,1,4,1,7,2,0,2,1,41,45,32.1,
41,1/29/2002,38-346,WAS,DET,L (-3),42,44,13,15,30,0.433,0,3,0,,0.429,6,12,8,0.75,0,0,5,1,5,1,7,2,0,3,1,32,45,20.8,
42,1/31/2002,38-348,WAS,CLE,W (+1),40,44,11,15,27,0.407,0,3,1,0,0.429,4,12,4,1,1,0,4,1,5,1,8,1,0,4,1,26,45,16,
43,2/1/2002,38-349,WAS,ATL,W (+7),38,44,10,15,24,0.417,0,3,1,0,0.429,8,12,10,0.8,0,0,4,1,4,1,8,2,2,1,1,28,45,22.8,
44,2/3/2002,38-351,WAS,IND,W (+20),41,44,11,15,19,0.579,1,3,1,1,0.429,0,12,0,,1,0,4,1,5,1,6,0,0,0,1,23,45,19.4,
45,2/5/2002,38-353,WAS,TOR,W (+5),40,44,10,15,21,0.476,0,3,1,0,0.429,3,12,4,0.75,1,0,6,1,7,1,5,0,0,2,1,23,45,14.7,
46,2/7/2002,38-355,WAS,SAC,W (+7),41,44,12,15,30,0.4,0,3,1,0,0.429,1,12,1,1,2,0,4,1,6,1,9,1,0,1,1,25,45,16.9,
47,2/12/2002,38-360,WAS,LAL,L (-9),41,44,8,15,20,0.4,0,3,0,,0.429,6,12,8,0.75,0,0,5,1,5,1,6,2,1,4,1,22,45,14.4,
48,2/14/2002,38-362,WAS,SAC,L (-16),33,44,6,15,18,0.333,0,3,0,,0.429,4,12,6,0.667,0,0,1,1,1,1,4,1,0,3,1,16,45,6.1,
49,2/15/2002,38-363,WAS,PHO,W (+1),37,44,7,15,19,0.368,0,3,0,,0.429,8,12,9,0.889,0,0,6,1,6,1,4,2,2,5,1,22,45,13.3,
50,2/18/2002,39-001,WAS,HOU,L (-13),36,44,5,15,12,0.417,0,3,1,0,0.429,1,12,2,0.5,1,0,5,1,6,1,11,0,0,2,1,11,45,11.3,
51,2/21/2002,39-004,WAS,NJN,L (-11),37,44,7,15,17,0.412,0,3,1,0,0.429,2,12,2,1,0,0,5,1,5,1,6,3,0,4,1,16,45,10.8,
52,2/23/2002,39-006,WAS,MIA,L (-2),37,44,13,15,25,0.52,1,3,1,1,0.429,10,12,12,0.833,1,0,4,1,5,1,7,0,0,4,1,37,45,25.5,
53,2/24/2002,39-007,WAS,MIA,L (-12),30,44,4,15,13,0.308,1,3,2,0.5,0.429,0,12,1,0,0,0,5,1,5,1,6,3,0,6,1,9,45,3,
54,3/20/2002,39-031,WAS,DEN,W (+32),16,44,2,15,9,0.222,0,3,0,,0.429,3,12,3,1,0,0,1,1,1,1,2,2,0,2,1,7,45,3.2,
55,3/21/2002,39-032,WAS,UTA,L (-15),22,44,4,15,12,0.333,0,3,0,,0.429,3,12,4,0.75,0,0,4,1,4,1,4,1,0,1,1,11,45,7.8,
56,3/24/2002,39-035,WAS,TOR,L (-1),22,44,6,15,17,0.353,0,3,0,,0.429,2,12,2,1,0,0,3,1,3,1,2,2,0,3,1,14,45,4.2,
57,3/26/2002,39-037,WAS,DEN,W (+16),20,44,4,15,9,0.444,0,3,1,0,0.429,1,12,3,0.333,1,0,2,1,3,1,6,0,0,1,1,9,45,7.2,
58,3/29/2002,39-040,WAS,MIL,W (+9),26,44,12,15,22,0.545,0,3,0,,0.429,10,12,12,0.833,0,0,3,1,3,1,1,0,0,0,1,34,45,23.8,
59,3/31/2002,39-042,WAS,DAL,L (-7),28,44,4,15,14,0.286,0,3,0,,0.429,2,12,2,1,1,0,2,1,3,1,5,1,1,2,1,10,45,5.9,
60,4/2/2002,39-044,WAS,LAL,L (-20),12,44,1,15,5,0.2,0,3,0,,0.429,0,12,0,,0,0,3,1,3,1,3,0,0,0,1,2,45,1.5,
