game,game2,date,date2,series, series,series_game,Lebron s_g,team,Lebron t,opp,Lebron opp,result,Lebron r,mp,Lebron mp,fg,Lebron fg,fga,Lebron fga,fgp,Lebron fgp,three,Lebron 3,threeatt,Lebron 3att,threep,Lebron 3p,ft,Lebron ft,fta,Lebron fta,ftp,Lebron ftp,orb,Lebron orb,drb,Lebron drb,trb,Lebron trb,ast,Lebron ast,stl,Lebron stl,blk,Lebron blk,tov,Lebron tov,pts,Lebron pts,game_score,Lebron g_s,plus_minus,Lebron p_m
4,4,5/3/1998,4/30/2006,ECS,EC1,1,4,CHI,CLE,CHH,WAS,W (+13),L (-10),44,45,11,13,26,23,0.423,0.647,1,6,3,9,0.333,0.667,12,9,14,10,0.857,0.9,4,0,7,12,11,12,4,11,1,2,1,1,3,2,35,37,26.8,39.9,,29
5,5,5/6/1998,5/3/2006,ECS,EC1,2,5,CHI,CLE,CHH,WAS,L (-2),W (+1),40,46,10,14,21,23,0.476,0.438,0,2,3,6,0,0.333,2,13,3,15,0.667,0.867,1,1,4,7,5,8,6,7,0,2,0,1,0,4,22,29,16.2,25.4,,6
6,6,5/8/1998,5/5/2006,ECS,EC1,3,6,CHI,CLE,CHH,WAS,W (+14),W (+1),39,53,9,15,20,25,0.45,0.462,0,0,1,3,0,0,9,8,10,10,0.9,0.8,3,6,2,9,5,15,6,5,1,2,0,1,3,1,27,32,19.9,29.5,,12
7,7,5/10/1998,5/7/2006,ECS,ECS,4,1,CHI,CLE,CHH,DET,W (+14),L (-27),40,36,14,9,31,18,0.452,0.455,0,0,1,4,0,0,3,8,3,13,1,0.615,0,4,3,5,3,9,4,5,1,6,0,0,2,2,31,28,17.2,26.4,,-7
8,8,5/13/1998,5/9/2006,ECS,ECS,5,2,CHI,CLE,CHH,DET,W (+9),L (-6),42,48,15,11,29,23,0.517,0.455,0,1,3,4,0,0.25,3,1,4,3,0.75,0.333,1,1,3,6,4,7,3,3,2,2,1,0,0,4,33,22,23.5,12,,-9
9,9,5/17/1998,5/13/2006,ECF,ECS,1,3,CHI,CLE,IND,DET,W (+6),W (+9),41,48,11,9,28,18,0.393,0.519,0,0,0,0,,0,9,12,10,16,0.9,0.75,2,6,4,12,6,18,1,9,5,2,0,2,1,5,31,40,22.3,37.2,,4
10,10,5/19/1998,5/15/2006,ECF,ECS,2,4,CHI,CLE,IND,DET,W (+6),W (+2),42,48,13,8,22,23,0.591,0.632,0,2,1,4,0,0.5,15,4,18,4,0.833,1,0,3,4,7,4,10,5,8,4,1,0,1,0,4,41,30,37.1,28.6,,28
11,11,5/23/1998,5/17/2006,ECF,ECS,3,5,CHI,CLE,IND,DET,L (-2),W (+2),44,47,9,13,22,30,0.409,0.522,2,0,3,3,0.667,0,10,4,12,5,0.833,0.8,1,1,3,5,4,6,7,7,1,3,0,0,5,1,30,28,18.7,25,,16
12,12,5/25/1998,5/19/2006,ECF,ECS,4,6,CHI,CLE,IND,DET,L (-2),L (-2),41,48,12,8,27,20,0.444,0.591,1,0,3,3,0.333,0,3,6,4,9,0.75,0.667,2,1,3,12,5,13,2,3,0,1,2,3,6,3,28,32,11,26.3,,17
13,13,5/27/1998,5/21/2006,ECF,ECS,5,7,CHI,CLE,IND,DET,W (+19),L (-18),36,47,12,11,20,24,0.6,0.35,2,2,4,6,0.5,0.333,3,18,4,24,0.75,0.75,1,4,6,6,7,10,4,7,1,1,1,1,0,1,29,34,25.6,29.8,,10
14,14,5/29/1998,5/29/2007,ECF,ECF,6,4,CHI,CLE,IND,DET,L (-3),W (+4),42,44,12,8,23,19,0.522,0.615,1,1,4,4,0.25,0.25,10,1,11,5,0.909,0.2,1,0,4,8,5,8,2,5,1,2,0,2,3,3,35,34,23,25.3,,-6
15,15,5/31/1998,5/31/2007,ECF,ECF,7,5,CHI,CLE,IND,DET,W (+5),W (+2),42,50,9,18,25,33,0.36,0.476,0,2,0,4,,0.5,10,7,15,8,0.667,0.875,5,0,4,7,9,7,8,6,0,2,0,1,2,4,28,29,19.2,22.1,,-22
16,16,6/3/1998,6/2/2007,FIN,ECF,1,6,CHI,CLE,UTA,DET,L (-3),W (+16),46,46,13,3,29,11,0.448,0.314,1,3,2,6,0.5,0.5,6,14,8,18,0.75,0.778,1,4,2,12,3,16,2,11,0,1,2,1,0,3,33,39,20,28.9,,0
17,17,6/5/1998,6/7/2007,FIN,FIN,2,1,CHI,CLE,UTA,SAS,W (+5),L (-9),40,44,14,4,33,16,0.424,0.538,0,1,2,2,0,0.5,9,3,10,5,0.9,0.6,3,2,2,9,5,11,3,6,1,1,1,2,0,5,37,32,24.8,23.5,,24
18,18,6/7/1998,6/10/2007,FIN,FIN,3,2,CHI,CLE,UTA,SAS,W (+42),L (-11),32,38,7,9,14,21,0.5,0.563,0,1,0,5,,0.2,10,6,11,9,0.909,0.667,1,1,2,9,3,10,2,8,1,0,1,2,2,8,24,25,18.6,17.8,,-4
19,19,6/10/1998,6/12/2007,FIN,FIN,4,3,CHI,CLE,UTA,SAS,W (+4),L (-3),43,42,12,9,27,23,0.444,0.5,0,2,0,5,,0.4,10,10,15,12,0.667,0.833,3,2,5,10,8,12,2,8,2,1,0,0,3,6,34,28,21.5,23.4,,-2
20,20,6/12/1998,6/14/2007,FIN,FIN,5,4,CHI,CLE,UTA,SAS,L (-2),L (-1),45,46,9,10,26,30,0.346,0.714,0,6,2,9,0,0.667,10,4,11,6,0.909,0.667,1,3,3,10,4,13,4,7,3,3,0,0,4,4,28,40,14.8,39.1,,7
21,21,6/14/1998,6/12/2011,FIN,FIN,6,6,CHI,MIA,UTA,DAL,W (+1),L (-10),44,40,15,9,35,15,0.429,0.65,3,1,7,5,0.429,0.2,12,1,15,4,0.8,0.25,0,3,1,11,1,14,1,10,4,1,0,0,1,1,45,28,28.5,29.2,,18
